country,clf,feat_set,inc,auc_score,N,N_p,N_n
AE,CART,inc-only,1,0.6599606995059881,9849,663,9186
AE,CART,inc-only,2,0.6727046273314077,9849,663,9186
AE,CART,inc-only,3,0.6981949464538322,9849,663,9186
AE,CART,inc-only,4,0.7857637830449212,9849,663,9186
AE,CART,inc-only,5,0.747065405407439,9849,663,9186
AE,CART,inc-only,6,0.7668614862670333,9849,663,9186
AE,CART,inc-only,7,0.7745337183238482,9849,663,9186
AE,CART,inc-only,8,0.8220717156725431,9849,663,9186
AE,CART,appended,1,0.662240312026463,9849,663,9186
AE,CART,appended,2,0.7417212008808536,9849,663,9186
AE,CART,appended,3,0.7733515969130409,9849,663,9186
AE,CART,appended,4,0.7962670204109886,9849,663,9186
AE,CART,appended,5,0.807144417259716,9849,663,9186
AE,CART,appended,6,0.8212189427667778,9849,663,9186
AE,CART,appended,7,0.8355551383411748,9849,663,9186
AE,CART,appended,8,0.8478590355432183,9849,663,9186
AE,RF,inc-only,1,0.9027601044276098,9849,663,9186
AE,RF,inc-only,2,0.9089651631643001,9849,663,9186
AE,RF,inc-only,3,0.9274144593138631,9849,663,9186
AE,RF,inc-only,4,0.9738852664060305,9849,663,9186
AE,RF,inc-only,5,0.9466285416955226,9849,663,9186
AE,RF,inc-only,6,0.9524436791416094,9849,663,9186
AE,RF,inc-only,7,0.9477136589158855,9849,663,9186
AE,RF,inc-only,8,0.9785011218585656,9849,663,9186
AE,RF,appended,1,0.9036854549170934,9849,663,9186
AE,RF,appended,2,0.940093202631891,9849,663,9186
AE,RF,appended,3,0.9619055501811631,9849,663,9186
AE,RF,appended,4,0.9806125625377888,9849,663,9186
AE,RF,appended,5,0.9812569693946549,9849,663,9186
AE,RF,appended,6,0.9826257126174148,9849,663,9186
AE,RF,appended,7,0.9839081148534042,9849,663,9186
AE,RF,appended,8,0.9876134172657959,9849,663,9186
AE,XGB,inc-only,1,0.8967073944367095,9849,663,9186
AE,XGB,inc-only,2,0.903395655476514,9849,663,9186
AE,XGB,inc-only,3,0.9280186015065205,9849,663,9186
AE,XGB,inc-only,4,0.9740990778116139,9849,663,9186
AE,XGB,inc-only,5,0.9556973003730442,9849,663,9186
AE,XGB,inc-only,6,0.9503057902144664,9849,663,9186
AE,XGB,inc-only,7,0.9515317825625373,9849,663,9186
AE,XGB,inc-only,8,0.9796903282281548,9849,663,9186
AE,XGB,appended,1,0.8967073944367095,9849,663,9186
AE,XGB,appended,2,0.9302641094313246,9849,663,9186
AE,XGB,appended,3,0.962698213567045,9849,663,9186
AE,XGB,appended,4,0.9792398471308282,9849,663,9186
AE,XGB,appended,5,0.9826181651811792,9849,663,9186
AE,XGB,appended,6,0.9857330689566243,9849,663,9186
AE,XGB,appended,7,0.9866984971077495,9849,663,9186
AE,XGB,appended,8,0.9886080862455418,9849,663,9186
AF,CART,inc-only,1,0.5108216112531969,703,15,688
AF,CART,inc-only,2,0.562265558397272,703,15,688
AF,CART,inc-only,3,0.6717391304347826,703,15,688
AF,CART,inc-only,4,0.9206521739130435,703,15,688
AF,CART,inc-only,5,0.6122762148337596,703,15,688
AF,CART,inc-only,6,0.6633951406649616,703,15,688
AF,CART,inc-only,7,0.6057225063938618,703,15,688
AF,CART,inc-only,8,0.6184782608695653,703,15,688
AF,CART,appended,1,0.5586317135549872,703,15,688
AF,CART,appended,2,0.5405583972719523,703,15,688
AF,CART,appended,3,0.5934462915601023,703,15,688
AF,CART,appended,4,0.8198955669224212,703,15,688
AF,CART,appended,5,0.7199168797953964,703,15,688
AF,CART,appended,6,0.7978260869565218,703,15,688
AF,CART,appended,7,0.8463661551577153,703,15,688
AF,CART,appended,8,0.8470801364023871,703,15,688
AF,RF,inc-only,1,0.7812233589087809,703,15,688
AF,RF,inc-only,2,0.9054880647911339,703,15,688
AF,RF,inc-only,3,0.948497442455243,703,15,688
AF,RF,inc-only,4,0.9632992327365729,703,15,688
AF,RF,inc-only,5,0.8183503836317135,703,15,688
AF,RF,inc-only,6,0.9517369991474851,703,15,688
AF,RF,inc-only,7,0.8959825234441603,703,15,688
AF,RF,inc-only,8,0.951800937766411,703,15,688
AF,RF,appended,1,0.809462915601023,703,15,688
AF,RF,appended,2,0.931074168797954,703,15,688
AF,RF,appended,3,0.9788363171355499,703,15,688
AF,RF,appended,4,0.9818734015345268,703,15,688
AF,RF,appended,5,0.9789855072463768,703,15,688
AF,RF,appended,6,0.9897378516624041,703,15,688
AF,RF,appended,7,0.9818414322250639,703,15,688
